Source,Fake News Watch,The Daily Dot,U.S. News and World Report,New Republic,CBS News,about.com,NPR,Snopes Field Guide,Kate Starbird,Opensources,Craig Silverman,Politifact,n_consensus
buzzfeedusa.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
times.com.mx,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
winningdemocrats.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
journal-neo.org,No,No,No,No,No,No,No,No,No,Yes,No,No,1
usawatchdog.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
thatviralfeed.net,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
freedomsphoenix.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
usanews4u.us,No,No,No,No,No,No,No,No,No,No,No,Yes,1
freedomforceinternational.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
businessinsider.com,No,No,No,No,No,No,No,No,Yes,No,No,No,1
humansarefree.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
bients.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
nationalreport.net,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,10
madworldnews.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
usapoliticstoday.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
voxtribune.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
whydontyoutrythis.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
openmindmagazine.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
washingtonfed.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
moonofalabama.org,No,No,No,No,No,No,No,No,No,Yes,No,No,1
observeronline.news,No,No,No,No,No,No,No,No,No,No,No,Yes,1
nation.com.pk,No,No,No,No,No,No,No,No,No,No,No,Yes,1
donaldtrumpnews.co,No,No,No,No,No,No,No,No,No,Yes,No,No,1
conspiracywire.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
freshdailyreport.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
empireherald.com,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,4
thestatelyharold.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
wetheproudpatriots.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1
battypost.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1
wmb36.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1
jacksontelegraph.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1
24newsflash.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
70news.wordpress.com,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,3
nbc.com.co,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
channel62news.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1
newslogue.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
channel22news.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1
elkoshary.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
urbanimagemagazine.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1
tradcatknight.blogspot.com,No,No,No,No,No,No,No,No,Yes,No,No,No,1
americantoday.us,No,No,No,No,No,No,No,No,No,No,No,Yes,1
ihr.org,No,No,No,No,No,No,No,No,No,Yes,No,No,1
naturalnews.com,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,4
heaviermetal.net,No,No,No,No,No,No,No,No,No,No,Yes,No,1
newsbbc.net,No,No,No,No,No,No,No,No,No,Yes,No,No,1
shareblue.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
usa-radio.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
drugsofficial.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1
indiaarising.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
persecutes.com,No,No,No,No,No,No,No,No,No,No,Yes,Yes,2
ewao.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
en.mediamass.net,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,4
religionmind.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
