Source,Fake News Watch,The Daily Dot,U.S. News and World Report,New Republic,CBS News,about.com,NPR,Snopes Field Guide,Kate Starbird,Opensources,Craig Silverman,Politifact,n_consensus,2018-01-20 04:42:30,2018-02-20 16:55:53,2018-02-27 16:56:00
hangthebankers.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2,100.0,100.0,100.0
healthycareandbeauty.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,21.0,0.0,1.0
healthyworldhouse.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
houstonchronicle-tv.com,No,No,No,No,No,No,No,No,No,No,Yes,Yes,2,0.0,0.0,0.0
humansarefree.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2,85.0,100.0,94.0
huzlers.com,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,8,100.0,100.0,100.0
ifyouonlynews.com,No,No,No,No,Yes,No,No,No,No,Yes,No,No,2,100.0,100.0,100.0
infowars.com,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,6,85.0,100.0,100.0
intellihub.com,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,3,100.0,100.0,100.0
interestingdailynews.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
investmentwatchblog.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2,100.0,90.0,100.0
itaglive.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2,0.0,0.0,3.0
jewsnews.co.il,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,100.0,100.0,100.0
jonesreport.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2,0.0,0.0,0.0
katehon.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2,92.0,100.0,94.0
kmt11.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3,0.0,0.0,0.0
konkonsagh.biz,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
krbcnews.com,No,No,No,No,No,No,No,No,No,Yes,Yes,No,2,0.0,0.0,0.0
ky12news.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3,0.0,0.0,0.0
lastdeplorables.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
learnprogress.org,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,2.0,7.0,4.0
lewrockwell.com,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,3,100.0,80.0,98.0
liberalplug.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,1.0,0.0,0.0
